Attendee,Join Time,Leave Time,Join Time Number,Leave Time Number
Jaslyn Chapman,11/9/2020 15:18,11/9/2020 18:04,1915456680,1915466640
Jaslyn Chapman,11/9/2020 13:57,11/9/2020 15:18,1915451820,1915456680
Dalia Gentry,11/9/2020 13:59,11/9/2020 19:03,1915451940,1915470180
Mark Cannon,11/9/2020 15:42,11/9/2020 16:16,1915458120,1915460160
Braelyn Terrell,11/9/2020 15:17,11/9/2020 17:19,1915456620,1915463940
Braelyn Terrell,11/9/2020 13:58,11/9/2020 15:16,1915451880,1915456560
Kallie Weiss,11/9/2020 14:26,11/9/2020 18:09,1915453560,1915466940
Branson Rivas,11/9/2020 13:39,11/9/2020 19:03,1915450740,1915470180
Dalia Cooper,11/9/2020 14:01,11/9/2020 18:07,1915452060,1915466820
Walker Salazar,11/9/2020 13:21,11/9/2020 14:03,1915449660,1915452180
Walker Salazar,11/9/2020 14:03,11/9/2020 19:03,1915452180,1915470180
Walker Salazar,11/9/2020 14:03,11/9/2020 14:04,1915452180,1915452240
Brayden Sosa,11/9/2020 13:52,11/9/2020 17:18,1915451520,1915463880
Whitney Zhang,11/9/2020 14:23,11/9/2020 14:24,1915453380,1915453440
Zion Oconnor,11/9/2020 13:39,11/9/2020 19:03,1915450740,1915470180
Taniya Frey,11/9/2020 13:50,11/9/2020 19:03,1915451400,1915470180
Kinley Olson,11/9/2020 14:10,11/9/2020 16:04,1915452600,1915459440
Selah Moreno,11/9/2020 14:00,11/9/2020 17:39,1915452000,1915465140
Guillermo Cherry,11/9/2020 14:20,11/9/2020 15:08,1915453200,1915456080
Makenna Hernandez,11/9/2020 14:00,11/9/2020 17:55,1915452000,1915466100
Fisher Casey,11/9/2020 13:58,11/9/2020 18:07,1915451880,1915466820
Dana Lindsey,11/9/2020 14:11,11/9/2020 14:29,1915452660,1915453740
Christopher Powell,11/9/2020 18:57,11/9/2020 18:57,1915469820,1915469820
Adrian Shah,11/9/2020 13:21,11/9/2020 14:03,1915449660,1915452180
Adrian Shah,11/9/2020 14:03,11/9/2020 15:00,1915452180,1915455600
Adrian Shah,11/9/2020 15:00,11/9/2020 19:03,1915455600,1915470180
Nicolas Maddox,11/9/2020 13:48,11/9/2020 18:06,1915451280,1915466760
Jaida Vasquez,11/9/2020 13:57,11/9/2020 19:03,1915451820,1915470180
Princess Compton,11/9/2020 14:03,11/9/2020 17:09,1915452180,1915463340
Princess Compton,11/9/2020 13:57,11/9/2020 14:03,1915451820,1915452180
Janiya Rocha,11/9/2020 14:01,11/9/2020 15:00,1915452060,1915455600
